"","Cmpd_Name","Sample_Name","count","test"
"1","3-Methyl-1,8-naphthalenediol","N133307_UTHSC_Y3_5_7",1,64.66
"2","3,19-Dihydroxy-12-ursene-24,28-dioic acid; (3,19)-form","N133307_UTHSC_Y3_5_7",0,NA
"3","3,19,24-Trihydroxy-12,20(30)-ursadien-28-oic acid; (3,19)-form, 24-Carboxylic acid","N133307_UTHSC_Y3_5_7",1,51.44
"4","3,3'-Bis(hydroxymethyl)-2,2'-binaphthalene-1,1',4,4',8,8'-hexol; 4,4',8,8'-Tetra-Me ether","N133307_UTHSC_Y3_5_7",1,50.51
"5","5-Hydroxy-6-(1-hydroxyethyl)-2-methyl-1,4-naphthoquinone; ()-form, 1'-Et ether","N133307_UTHSC_Y3_5_7",0,NA
"6","7-Methyl-1,2,4,5-naphthalenetetrol; 1,2,4-Tri-Me ether","N133307_UTHSC_Y3_5_7",1,49.78
"7","8-Hydroxy-6-methyl-1,2-naphthoquinone; Me ether","N133307_UTHSC_Y3_5_7",0,NA
"8","9-Oxo-13-octadecenoic acid; (Z)-form","N133307_UTHSC_Y3_5_7",0,NA
"9","Diospyrin; 2',3'-Dihydro","N133307_UTHSC_Y3_5_7",0,NA
"10","Diospyrin; 3'-Methoxy","N133307_UTHSC_Y3_5_7",0,NA
"11","Diospyrol","N133307_UTHSC_Y3_5_7",0,NA
"12","Diospyrosin","N133307_UTHSC_Y3_5_7",1,94.06
"13","Galpinone","N133307_UTHSC_Y3_5_7",0,NA
"14","Isodiospyrin; (R)axial-form, 7,7'-Diethoxy","N133307_UTHSC_Y3_5_7",0,NA
"15","Tetrahydrodiospyrin","N133307_UTHSC_Y3_5_7",1,81.92
"16","Xylospyrin","N133307_UTHSC_Y3_5_7",0,NA
"17","Zeylanone; 2',3'-Epoxide","N133307_UTHSC_Y3_5_7",0,NA
"18","3-Methyl-1,8-naphthalenediol","N133307_UTHSC_Y3_6_12",0,NA
"19","3,19-Dihydroxy-12-ursene-24,28-dioic acid; (3,19)-form","N133307_UTHSC_Y3_6_12",1,76.84
"20","3,19,24-Trihydroxy-12,20(30)-ursadien-28-oic acid; (3,19)-form, 24-Carboxylic acid","N133307_UTHSC_Y3_6_12",0,NA
"21","3,3'-Bis(hydroxymethyl)-2,2'-binaphthalene-1,1',4,4',8,8'-hexol; 4,4',8,8'-Tetra-Me ether","N133307_UTHSC_Y3_6_12",1,83.05
"22","5-Hydroxy-6-(1-hydroxyethyl)-2-methyl-1,4-naphthoquinone; ()-form, 1'-Et ether","N133307_UTHSC_Y3_6_12",0,NA
"23","7-Methyl-1,2,4,5-naphthalenetetrol; 1,2,4-Tri-Me ether","N133307_UTHSC_Y3_6_12",0,NA
"24","8-Hydroxy-6-methyl-1,2-naphthoquinone; Me ether","N133307_UTHSC_Y3_6_12",1,75.3
"25","9-Oxo-13-octadecenoic acid; (Z)-form","N133307_UTHSC_Y3_6_12",1,64.66
"26","Diospyrin; 2',3'-Dihydro","N133307_UTHSC_Y3_6_12",0,NA
"27","Diospyrin; 3'-Methoxy","N133307_UTHSC_Y3_6_12",0,NA
"28","Diospyrol","N133307_UTHSC_Y3_6_12",1,50.51
"29","Diospyrosin","N133307_UTHSC_Y3_6_12",0,NA
"30","Galpinone","N133307_UTHSC_Y3_6_12",0,NA
"31","Isodiospyrin; (R)axial-form, 7,7'-Diethoxy","N133307_UTHSC_Y3_6_12",0,NA
"32","Tetrahydrodiospyrin","N133307_UTHSC_Y3_6_12",1,72.79
"33","Xylospyrin","N133307_UTHSC_Y3_6_12",0,NA
"34","Zeylanone; 2',3'-Epoxide","N133307_UTHSC_Y3_6_12",0,NA
"35","3-Methyl-1,8-naphthalenediol","N133307_UTHSC_Y3_6_13",0,NA
"36","3,19-Dihydroxy-12-ursene-24,28-dioic acid; (3,19)-form","N133307_UTHSC_Y3_6_13",0,NA
"37","3,19,24-Trihydroxy-12,20(30)-ursadien-28-oic acid; (3,19)-form, 24-Carboxylic acid","N133307_UTHSC_Y3_6_13",0,NA
"38","3,3'-Bis(hydroxymethyl)-2,2'-binaphthalene-1,1',4,4',8,8'-hexol; 4,4',8,8'-Tetra-Me ether","N133307_UTHSC_Y3_6_13",1,80.02
"39","5-Hydroxy-6-(1-hydroxyethyl)-2-methyl-1,4-naphthoquinone; ()-form, 1'-Et ether","N133307_UTHSC_Y3_6_13",0,NA
"40","7-Methyl-1,2,4,5-naphthalenetetrol; 1,2,4-Tri-Me ether","N133307_UTHSC_Y3_6_13",0,NA
"41","8-Hydroxy-6-methyl-1,2-naphthoquinone; Me ether","N133307_UTHSC_Y3_6_13",0,NA
"42","9-Oxo-13-octadecenoic acid; (Z)-form","N133307_UTHSC_Y3_6_13",1,56.17
"43","Diospyrin; 2',3'-Dihydro","N133307_UTHSC_Y3_6_13",1,76.84
"44","Diospyrin; 3'-Methoxy","N133307_UTHSC_Y3_6_13",0,NA
"45","Diospyrol","N133307_UTHSC_Y3_6_13",0,NA
"46","Diospyrosin","N133307_UTHSC_Y3_6_13",0,NA
"47","Galpinone","N133307_UTHSC_Y3_6_13",0,NA
"48","Isodiospyrin; (R)axial-form, 7,7'-Diethoxy","N133307_UTHSC_Y3_6_13",1,75.3
"49","Tetrahydrodiospyrin","N133307_UTHSC_Y3_6_13",1,64.66
"50","Xylospyrin","N133307_UTHSC_Y3_6_13",1,76.69
"51","Zeylanone; 2',3'-Epoxide","N133307_UTHSC_Y3_6_13",0,NA
"52","3-Methyl-1,8-naphthalenediol","N133307_UTHSC_Y3_6_14",0,NA
"53","3,19-Dihydroxy-12-ursene-24,28-dioic acid; (3,19)-form","N133307_UTHSC_Y3_6_14",0,NA
"54","3,19,24-Trihydroxy-12,20(30)-ursadien-28-oic acid; (3,19)-form, 24-Carboxylic acid","N133307_UTHSC_Y3_6_14",0,NA
"55","3,3'-Bis(hydroxymethyl)-2,2'-binaphthalene-1,1',4,4',8,8'-hexol; 4,4',8,8'-Tetra-Me ether","N133307_UTHSC_Y3_6_14",0,NA
"56","5-Hydroxy-6-(1-hydroxyethyl)-2-methyl-1,4-naphthoquinone; ()-form, 1'-Et ether","N133307_UTHSC_Y3_6_14",1,72.79
"57","7-Methyl-1,2,4,5-naphthalenetetrol; 1,2,4-Tri-Me ether","N133307_UTHSC_Y3_6_14",0,NA
"58","8-Hydroxy-6-methyl-1,2-naphthoquinone; Me ether","N133307_UTHSC_Y3_6_14",0,NA
"59","9-Oxo-13-octadecenoic acid; (Z)-form","N133307_UTHSC_Y3_6_14",1,67.09
"60","Diospyrin; 2',3'-Dihydro","N133307_UTHSC_Y3_6_14",0,NA
"61","Diospyrin; 3'-Methoxy","N133307_UTHSC_Y3_6_14",1,80.6
"62","Diospyrol","N133307_UTHSC_Y3_6_14",0,NA
"63","Diospyrosin","N133307_UTHSC_Y3_6_14",0,NA
"64","Galpinone","N133307_UTHSC_Y3_6_14",1,86.79
"65","Isodiospyrin; (R)axial-form, 7,7'-Diethoxy","N133307_UTHSC_Y3_6_14",0,NA
"66","Tetrahydrodiospyrin","N133307_UTHSC_Y3_6_14",0,NA
"67","Xylospyrin","N133307_UTHSC_Y3_6_14",0,NA
"68","Zeylanone; 2',3'-Epoxide","N133307_UTHSC_Y3_6_14",1,76.06
"69","3-Methyl-1,8-naphthalenediol","N133307_UTHSC_Y3_6_15",0,NA
"70","3,19-Dihydroxy-12-ursene-24,28-dioic acid; (3,19)-form","N133307_UTHSC_Y3_6_15",0,NA
"71","3,19,24-Trihydroxy-12,20(30)-ursadien-28-oic acid; (3,19)-form, 24-Carboxylic acid","N133307_UTHSC_Y3_6_15",0,NA
"72","3,3'-Bis(hydroxymethyl)-2,2'-binaphthalene-1,1',4,4',8,8'-hexol; 4,4',8,8'-Tetra-Me ether","N133307_UTHSC_Y3_6_15",0,NA
"73","5-Hydroxy-6-(1-hydroxyethyl)-2-methyl-1,4-naphthoquinone; ()-form, 1'-Et ether","N133307_UTHSC_Y3_6_15",0,NA
"74","7-Methyl-1,2,4,5-naphthalenetetrol; 1,2,4-Tri-Me ether","N133307_UTHSC_Y3_6_15",0,NA
"75","8-Hydroxy-6-methyl-1,2-naphthoquinone; Me ether","N133307_UTHSC_Y3_6_15",0,NA
"76","9-Oxo-13-octadecenoic acid; (Z)-form","N133307_UTHSC_Y3_6_15",0,NA
"77","Diospyrin; 2',3'-Dihydro","N133307_UTHSC_Y3_6_15",1,79.63
"78","Diospyrin; 3'-Methoxy","N133307_UTHSC_Y3_6_15",0,NA
"79","Diospyrol","N133307_UTHSC_Y3_6_15",0,NA
"80","Diospyrosin","N133307_UTHSC_Y3_6_15",0,NA
"81","Galpinone","N133307_UTHSC_Y3_6_15",0,NA
"82","Isodiospyrin; (R)axial-form, 7,7'-Diethoxy","N133307_UTHSC_Y3_6_15",0,NA
"83","Tetrahydrodiospyrin","N133307_UTHSC_Y3_6_15",0,NA
"84","Xylospyrin","N133307_UTHSC_Y3_6_15",0,NA
"85","Zeylanone; 2',3'-Epoxide","N133307_UTHSC_Y3_6_15",0,NA
